1.69;12.65;08.02.2024
1.69;12.59;07.02.2024
1.69;12.63;06.02.2024
1.69;12.6;03.02.2024
1.69;12.54;02.02.2024
1.68;12.46;01.02.2024
1.67;12.41;31.01.2024
1.66;12.45;30.01.2024
1.65;12.44;27.01.2024
1.65;12.33;26.01.2024
1.65;12.29;25.01.2024
1.65;12.23;24.01.2024
1.65;12.18;23.01.2024
1.65;12.27;20.01.2024
1.65;12.25;19.01.2024
1.65;12.19;18.01.2024
1.65;12.12;17.01.2024
1.66;12.15;16.01.2024
1.66;12.24;13.01.2024
1.66;12.36;12.01.2024
1.67;12.43;11.01.2024
1.67;12.59;10.01.2024
1.67;12.58;30.12.2023
1.67;12.67;29.12.2023
1.67;12.8;28.12.2023
1.67;12.79;27.12.2023
1.67;12.84;26.12.2023
1.67;12.86;23.12.2023
1.66;12.81;22.12.2023
1.65;12.66;21.12.2023
1.62;12.58;20.12.2023
1.6;12.66;19.12.2023
1.58;12.61;16.12.2023
1.57;12.55;15.12.2023
1.57;12.5;14.12.2023
1.58;12.56;13.12.2023
1.6;12.65;12.12.2023
1.61;12.79;09.12.2023
1.63;12.92;08.12.2023
1.64;12.95;07.12.2023
1.65;12.81;06.12.2023
1.66;12.69;05.12.2023
1.67;12.55;02.12.2023
1.67;12.39;01.12.2023
1.68;12.45;30.11.2023
1.68;12.37;29.11.2023
1.68;12.38;28.11.2023
1.68;12.39;25.11.2023
1.68;12.32;24.11.2023
1.68;12.3;23.11.2023
1.68;12.3;22.11.2023
1.67;12.32;21.11.2023
1.65;12.31;18.11.2023
1.64;12.25;17.11.2023
1.64;12.33;16.11.2023
1.65;12.49;15.11.2023
1.65;12.61;14.11.2023
1.64;12.6;11.11.2023
1.64;12.6;10.11.2023
1.64;12.66;09.11.2023
1.64;12.67;08.11.2023
1.65;12.69;04.11.2023
1.65;12.7;03.11.2023
1.65;12.71;02.11.2023
1.66;12.53;01.11.2023
1.66;12.71;31.10.2023
1.66;12.71;28.10.2023
1.67;12.75;27.10.2023
1.67;12.71;26.10.2023
1.67;12.77;25.10.2023
1.67;12.92;24.10.2023
1.67;13.07;21.10.2023
1.66;13.25;20.10.2023
1.66;13.29;19.10.2023
1.64;13.29;18.10.2023
1.62;13.29;17.10.2023
1.59;13.3;14.10.2023
1.57;13.28;13.10.2023
1.56;13.7;12.10.2023
1.57;13.68;11.10.2023
1.58;13.89;10.10.2023
1.59;13.74;07.10.2023
1.61;13.62;06.10.2023
1.62;13.58;05.10.2023
1.63;13.56;04.10.2023
1.64;13.5;03.10.2023
1.65;13.36;30.09.2023
